time,speed,throttle,brake,steering,laps
0.0,8.147149271584486e-42,0.0,1.0,30.0,0
0.1,8.318668203617845e-42,0.0,1.0,30.0,0
0.2,8.485142461179632e-42,0.0,1.0,30.0,0
0.3,8.65666139321299e-42,0.0,1.0,30.0,0
0.4,8.823135650774779e-42,0.0,1.0,30.0,0
0.5,8.994654582808136e-42,0.0,1.0,30.0,0
0.6,9.161128840369925e-42,0.0,1.0,30.0,0
0.7,9.327603097931713e-42,0.0,1.0,30.0,0
0.8,9.49912202996507e-42,0.0,1.0,30.0,0
0.91,9.670640961998427e-42,0.0,1.0,30.0,0
1.01,9.832070545088647e-42,0.0,1.0,30.0,0
1.11,1.0008634151593574e-41,0.0,1.0,30.0,0
1.21,1.0175108409155361e-41,0.0,1.0,30.0,0
1.31,1.034662734118872e-41,0.0,1.0,30.0,0
1.41,1.0513101598750508e-41,0.0,1.0,30.0,0
1.51,1.0684620530783865e-41,0.0,1.0,30.0,0
1.61,1.0851094788345654e-41,0.0,1.0,30.0,0
1.71,1.1022613720379011e-41,0.0,1.0,30.0,0
1.81,1.11890879779408e-41,0.0,1.0,30.0,0
1.91,1.1360606909974157e-41,0.0,1.0,30.0,0
2.01,1.1527081167535945e-41,0.0,1.0,30.0,0
2.11,1.1698600099569302e-41,0.0,1.0,30.0,0
2.21,1.1865074357131092e-41,0.0,1.0,30.0,0
2.31,1.203659328916445e-41,0.0,1.0,30.0,0
2.41,1.2203067546726236e-41,0.0,1.0,30.0,0
2.51,1.2374586478759596e-41,0.0,1.0,30.0,0
2.62,1.2541060736321383e-41,0.0,1.0,30.0,0
2.72,1.271257966835474e-41,0.0,1.0,30.0,0
2.82,1.2884098600388098e-41,0.0,1.0,30.0,0
2.92,1.3055617532421457e-41,0.0,1.0,30.0,0
3.02,1.3222091789983244e-41,0.0,1.0,30.0,0
3.12,1.3393610722016602e-41,0.0,1.0,30.0,0
3.22,1.3560084979578391e-41,0.0,1.0,30.0,0
3.32,1.3731603911611748e-41,0.0,1.0,30.0,0
3.42,1.3898078169173536e-41,0.0,1.0,30.0,0
3.52,1.4069597101206893e-41,0.0,1.0,30.0,0
3.62,1.4236071358768683e-41,0.0,1.0,30.0,0
3.72,1.440759029080204e-41,0.0,1.0,30.0,0
3.82,1.4574064548363827e-41,0.0,1.0,30.0,0
3.92,1.4745583480397187e-41,0.0,1.0,30.0,0
4.03,1.4917102412430544e-41,0.0,1.0,30.0,0
4.13,1.508357666999233e-41,0.0,1.0,30.0,0
4.23,1.5255095602025688e-41,0.0,1.0,30.0,0
4.33,1.5426614534059048e-41,0.0,1.0,30.0,0
4.43,1.5593088791620835e-41,0.0,1.0,30.0,0
4.53,1.5759563049182622e-41,0.0,1.0,30.0,0
4.63,1.5931081981215982e-41,0.0,1.0,30.0,0
4.73,1.609755623877777e-41,0.0,1.0,30.0,0
4.83,1.6269075170811126e-41,0.0,1.0,30.0,0
4.93,1.6440594102844483e-41,0.0,1.0,30.0,0
5.03,1.6612113034877843e-41,0.0,1.0,30.0,0
5.13,1.677858729243963e-41,0.0,1.0,30.0,0
5.24,1.6950106224472987e-41,0.0,1.0,30.0,0
5.34,1.7116580482034777e-41,0.0,1.0,30.0,0
5.44,1.7288099414068134e-41,0.0,1.0,30.0,0
5.54,1.7454573671629921e-41,0.0,1.0,30.0,0
5.64,1.7626092603663279e-41,0.0,1.0,30.0,0
5.74,1.7797611535696638e-41,0.0,1.0,30.0,0
5.84,1.7964085793258425e-41,0.0,1.0,30.0,0
